,low,high,open,close,volume,nbdi
2016-03-05,385.01,409.27,396.13,403.24,7676.29322299,112.6387
2016-03-06,395.0,418.74,403.24,412.21,9910.74424239,112.6387
2016-03-07,407.4,416.33,412.21,411.18,7501.47649557,112.6219
2016-03-08,408.75,414.0,411.18,412.8,5399.36136204,112.8465
2016-03-09,410.71,416.52,412.64,415.98,7909.17586749,112.4268
2016-03-10,414.97,421.0,415.98,419.39,7041.45814304,112.4191
2016-03-11,406.52,421.3,419.48,410.58,6897.105099,111.741
2016-03-12,410.01,416.38,410.56,412.52,4663.32879725,111.741
2016-03-13,411.61,415.84,412.51,415.02,6672.7126524,111.741
2016-03-14,412.48,416.94,415.02,415.41,7355.07959993,112.1688
2016-03-15,413.0,416.39,415.41,416.07,6274.8088109,112.5545
2016-03-16,415.7,419.75,416.06,418.41,6108.4432848,112.7759
2016-03-17,399.21,418.66,418.42,409.65,8597.5867638,110.445
2016-03-18,404.72,411.0,409.66,410.2,4840.13357914,110.4002
2016-03-19,409.36,415.34,410.09,411.27,4726.10717472,110.4002
2016-03-20,406.89,412.13,411.25,412.0,6020.51810823,110.4002
2016-03-21,411.0,417.79,411.98,416.66,6124.69185606,110.737
2016-03-22,413.95,418.99,416.66,417.53,5506.91945281,110.7877
2016-03-23,410.0,417.72,417.53,412.95,5064.58936525,111.5473
2016-03-24,411.0,416.87,412.86,416.41,4598.6610383,111.816
2016-03-25,414.37,417.77,416.42,416.97,3641.00285678,111.7698
2016-03-26,416.35,426.5,416.96,425.3,4658.09803054,111.7698
2016-03-27,419.63,425.36,425.29,423.0,5717.86007067,111.7698
2016-03-28,407.75,424.62,422.92,416.39,7361.85527519,111.3578
2016-03-29,407.56,416.41,416.4,412.79,5831.49360379,111.3736
2016-03-30,412.74,417.6,412.97,416.03,5235.54278385,110.2301
2016-03-31,414.12,417.68,416.03,417.68,5353.92318385,109.9191
2016-04-01,417.04,420.5,417.68,419.95,3952.0183139,110.2977
2016-04-02,418.33,420.8,419.95,420.16,3266.97381272,110.2977
2016-04-03,417.58,421.0,420.08,419.47,5323.83529462,110.2977
2016-04-04,418.01,423.43,419.48,422.36,5727.68629636,110.3987
2016-04-05,420.61,423.0,422.4,421.46,5211.96140153,110.9478
2016-04-06,419.41,422.74,421.36,421.99,5026.31118662,110.5347
2016-04-07,415.71,424.65,421.99,419.48,6437.97595515,110.8876
2016-04-08,415.51,419.79,419.48,419.46,3519.98911149,110.4213
2016-04-09,419.46,423.99,419.46,423.4,2990.03664436,110.4213
2016-04-10,420.15,424.0,423.29,423.94,5093.21825161,110.4213
2016-04-11,423.14,429.77,423.95,427.8,6997.06357807,109.9758
2016-04-12,423.59,429.44,427.8,425.58,5885.07514476,109.816
2016-04-13,424.52,428.0,425.58,426.32,4732.22672175,110.1436
2016-04-14,425.72,431.1,426.35,430.93,4184.00939072,110.1691
2016-04-15,429.89,434.89,430.82,433.39,4133.98598682,110.1933
2016-04-16,429.15,434.93,433.69,431.0,3299.73395797,110.1933
2016-04-17,428.44,434.46,431.08,430.97,5277.32120606,110.1933
2016-04-18,429.22,438.2,430.9,437.06,6226.60528301,109.9892
2016-04-19,436.17,444.07,437.06,442.96,7150.95669528,109.2782
2016-04-20,441.99,453.8,442.87,452.25,7693.43100861,109.3926
2016-04-21,445.07,452.95,452.25,448.41,6814.7817311,109.8533
2016-04-22,447.03,455.84,448.57,455.69,4618.30821378,110.2331
2016-04-23,454.55,465.0,455.68,464.46,6188.49079492,110.2331
