date,close,volume,nbdi
2017-10-28,6140.01,12509.85515088,112.1495
2017-10-29,6124.16,8341.53244599,112.1495
2017-10-30,6445.01,15024.49558504,111.901
2017-10-31,6783.69,20571.58188569,111.8052
2017-11-01,7039.98,35889.38819701,111.7942
2017-11-02,7170.01,24759.33130603,111.5474
2017-11-03,7412.55,13668.92328073,111.9383
2017-11-04,7392.0,16504.95764862,111.9383
2017-11-05,6969.76,24287.52091386,111.9383
2017-11-06,7126.63,14505.79432211,111.7197
2017-11-07,7467.96,38184.63758966,111.9446
2017-11-08,7156.0,18059.36167926,111.6935
2017-11-09,6577.62,34072.93239507,111.5626
2017-11-10,6346.7,25651.2940802,111.5626
2017-11-11,5886.35,52487.43253081,111.5626
2017-11-12,6535.87,36435.45627543,111.5626
2017-11-13,6605.0,20256.43299376,111.7833
2017-11-14,7294.0,27878.77629558,111.5097
2017-11-15,7838.53,29352.77615064,111.4809
2017-11-16,7714.71,25045.6530014,111.2568
2017-11-17,7777.01,14707.53684425,111.0016
2017-11-18,8031.82,14765.96963561,111.0016
2017-11-19,8256.01,15693.26060594,111.0016
2017-11-20,8109.0,31256.2619911,111.2599
2017-11-21,8250.0,13690.8317595,110.9828
2017-11-22,8031.16,11919.91670069,110.5632
2017-11-23,8215.01,14748.71323788,110.5632
2017-11-24,8795.5,16482.32785846,110.0253
2017-11-25,9401.11,28641.69759252,110.0253
2017-11-26,9768.71,25683.3262464,110.0253
2017-11-27,9949.0,18960.42673846,110.1136
2017-11-28,9935.98,70224.99702034,110.3018
2017-11-29,9903.0,42536.31363519,110.3265
2017-11-30,10869.84,33257.5736678,110.4648
2017-12-01,10930.24,20197.01810153,110.1413
2017-12-02,11290.0,31415.80537618,110.1413
2017-12-03,11643.98,20180.88652913,110.1413
2017-12-04,11718.35,17711.49076161,110.397
2017-12-05,14090.0,51358.74592889,110.4905
2017-12-06,17390.01,84528.1023714,110.8711
2017-12-07,16367.03,68522.70363443,111.0178
2017-12-08,15309.98,41170.50758947,111.2273
2017-12-09,15290.01,52882.81594883,111.2273
2017-12-10,16885.76,41169.69239233,111.2273
2017-12-11,17730.12,38219.40739552,111.0827
2017-12-12,16689.61,31867.18168864,111.5214
2017-12-13,16749.78,16329.87585067,111.2759
2017-12-14,17738.67,28605.3275268,111.0893
2017-12-15,19650.01,24853.68358079,111.1286
2017-12-16,19378.99,21476.23509637,111.1286
2017-12-17,19039.01,26385.52352887,111.1286
2017-12-18,17838.73,32148.34752127,110.9086
2017-12-19,16496.89,47992.44424371,111.1255
2017-12-20,15758.8,28740.89368429,110.8361
2017-12-21,14210.57,103039.93421339,110.8786
2017-12-22,15075.89,30795.88799527,111.0997
2017-12-23,14221.94,24834.83362307,111.0997
2017-12-24,14171.98,15425.35357187,111.0997
2017-12-25,15790.88,22462.7056247,111.0997
2017-12-26,15367.08,24957.62817381,110.9758
2017-12-27,14450.01,31273.57825037,110.8553
2017-12-28,14565.05,18476.05198941,110.5154
2017-12-29,12839.99,28787.73764058,110.0783
2017-12-30,13863.13,18604.28576752,110.0783
2017-12-31,13480.01,12295.00653579,110.0783
2018-01-01,14781.51,26387.93493436,110.0783
2018-01-02,15098.14,17877.49528646,109.6444
2018-01-03,15144.99,20010.43634249,109.6751
2018-01-04,16960.01,22917.78066891,109.4779
2018-01-05,17098.99,14104.21391996,109.3496
2018-01-06,16174.22,12341.08084887,109.3496
2018-01-07,14993.74,23151.96462195,109.3496
2018-01-08,14480.99,15384.62464501,109.5678
2018-01-09,14875.18,22664.54513634,109.9022
2018-01-10,13308.06,28889.12130985,109.6277
2018-01-11,13820.0,14816.77240977,109.4887
2018-01-12,14187.95,10491.10485473,108.9011
2018-01-13,13656.23,10783.39313813,108.9011
2018-01-14,13590.0,10511.84043108,108.9011
2018-01-15,11570.01,62207.83296297,108.9011
2018-01-16,11200.01,63957.23278928,108.322
2018-01-17,11305.53,30134.64772622,108.1526
2018-01-18,11498.99,15959.30876174,108.0655
2018-01-19,12762.8,18749.95639326,107.9454
2018-01-20,11518.17,16426.17776825,107.9454
2018-01-21,10766.7,24352.57045749,107.9454
2018-01-22,10824.94,21897.02947424,108.1069
2018-01-23,11356.79,15159.74617502,107.9981
2018-01-24,11118.0,13803.3994887,107.0801
2018-01-25,11086.89,19343.28195401,106.5052
2018-01-26,11319.0,12301.187315,106.6909
2018-01-27,11536.0,13684.87204513,106.6909
2018-01-28,11123.01,11166.05984506,106.6909
2018-01-29,9995.0,27589.87336945,107.1141
2018-01-30,10099.99,19533.73809729,107.1063
2018-01-31,9014.23,38171.97003425,106.7695
2018-02-01,8787.52,52039.26807721,106.4877
2018-02-02,9240.0,23700.98508963,107.1154
2018-02-03,8167.91,24062.18195663,107.1154
2018-02-04,6905.19,59578.69822102,107.1154
2018-02-05,7688.46,91895.11062729,107.3303
2018-02-06,7575.75,50916.57889564,107.5206
2018-02-07,8218.1,31649.57658512,107.7173
2018-02-08,8671.01,27558.51614051,108.3021
2018-02-09,8547.49,24910.69248868,108.2579
2018-02-10,8072.99,16804.11338411,108.2579
2018-02-11,8872.28,19718.28616707,108.2579
2018-02-12,8520.01,13952.55754805,108.0332
2018-02-13,9472.98,24374.64430846,107.7575
2018-02-14,10031.23,32372.79739747,107.4693
2018-02-15,10167.49,17843.54690778,106.9869
2018-02-16,11121.5,20781.56168216,107.0359
2018-02-17,10380.04,26975.93580105,107.0359
2018-02-18,11140.0,17634.43505308,107.0359
2018-02-19,11235.57,28425.12094891,107.0359
2018-02-20,10454.27,30042.03089218,107.6248
2018-02-21,9830.0,28095.90851163,107.8679
2018-02-22,10144.99,20779.94318193,107.8668
2018-02-23,9688.62,19729.38570667,107.6802
2018-02-24,9597.99,11707.16167099,107.6802
2018-02-25,10300.0,19118.9938219,107.6802
2018-02-26,10566.57,18240.52935154,107.7345
2018-02-27,10307.27,19688.06956326,108.1729
2018-02-28,10895.92,15390.55106388,108.3901
2018-03-01,11000.0,13838.03908182,108.5357
2018-03-02,11432.5,13198.55336472,108.5357
2018-03-03,11469.9,8635.84247054,108.5357
2018-03-04,11377.54,11051.44857722,108.5357
2018-03-05,10700.0,18565.88802786,108.3617
2018-03-06,9925.0,32486.56622749,107.7972
2018-03-07,9304.89,23426.7950493,108.0916
2018-03-08,9255.0,42041.35761821,108.2673
2018-03-09,8795.44,17254.85640436,107.9231
2018-03-10,9533.88,21816.15454135,107.9231
2018-03-11,9120.0,21281.59414403,107.9231
2018-03-12,9145.41,17207.40199682,107.9439
2018-03-13,8207.02,28010.58833814,107.7387
2018-03-14,8259.99,28014.23390561,107.8625
2018-03-15,8275.0,16967.92912777,108.2033
2018-03-16,7857.6,13639.73308518,108.4333
2018-03-17,8192.0,30536.54458381,108.4333
2018-03-18,8589.0,25598.67320803,108.4333
2018-03-19,8900.0,20469.34145312,108.3146
2018-03-20,8891.81,16007.11697609,108.4953
2018-03-21,8715.09,14990.23803367,108.4953
2018-03-22,8927.1,15266.82554983,107.9934
2018-03-23,8531.34,11863.31062337,107.7495
2018-03-24,8453.0,9048.85236081,107.7495
2018-03-25,8145.0,19389.85130451,107.7495
2018-03-26,7793.61,14987.73034205,107.182
2018-03-27,7942.72,10966.69757001,107.3361
2018-03-28,7080.0,27812.00561903,107.5733
2018-03-29,6848.01,29312.749662,107.665
2018-03-30,6928.5,14951.4968471,107.4783
2018-03-31,6816.01,15434.52280833,107.4783
2018-04-01,7045.01,14317.14565509,107.4783
2018-04-02,7424.9,18923.19243902,107.7031
2018-04-03,6791.68,15332.55315937,107.5621
2018-04-04,6785.85,14454.29416624,107.636
2018-04-05,6619.01,10756.54967988,107.7279
2018-04-06,6894.01,10351.3736739,107.7884
2018-04-07,7020.01,6296.84940676,107.7884
2018-04-08,6771.13,13950.51963666,107.7884
2018-04-09,6824.99,7491.82299943,107.5312
2018-04-10,6942.99,8182.9960061,107.3651
2018-04-11,7916.0,31205.93316274,107.1216
2018-04-12,7893.19,22123.21006651,107.2897
2018-04-13,8003.11,9338.06089305,107.2359
2018-04-14,8355.25,9899.55458272,107.2359
2018-04-15,8048.93,13429.26623465,107.2359
2018-04-16,7892.1,10700.35753361,107.0588
2018-04-17,8152.05,10973.85923727,107.0335
2018-04-18,8274.0,11936.23618763,107.1091
2018-04-19,8866.27,16415.30759081,107.5191
2018-04-20,8915.42,12305.06569139,108.1782
2018-04-21,8795.01,7805.76709948,108.1782
2018-04-22,8931.3,8040.33557959,108.1782
2018-04-23,9645.1,20843.27006804,108.9328
2018-04-24,8865.98,31814.1288426,108.7903
2018-04-25,9272.11,15216.84970266,109.3443
2018-04-26,8922.55,12087.28643213,109.3639
2018-04-27,9329.99,8849.51366266,109.1729
2018-04-28,9389.01,7937.98812228,109.1729
2018-04-29,9243.83,8862.27320109,109.1729
2018-04-30,9072.29,11372.35045084,109.3356
2018-05-01,9190.48,8825.62461492,109.7437
2018-05-02,9725.74,14956.45443951,110.1616
2018-05-03,9685.0,10837.90259875,110.1796
2018-05-04,9800.0,9391.1010713,110.2492
2018-05-05,9600.0,7651.21500589,110.2492
2018-05-06,9353.0,9909.98246212,110.2492
2018-05-07,9177.82,9561.98001906,110.5713
2018-05-08,9300.08,8628.95083325,111.062
2018-05-09,9010.51,7596.46134672,110.8807
2018-05-10,8403.33,17512.9269818,110.4041
2018-05-11,8475.0,11392.07649417,110.2839
2018-05-12,8686.1,6678.59431195,110.2839
2018-05-13,8670.0,14127.77867728,110.2839
2018-05-14,8477.46,10892.26808048,110.4073
2018-05-15,8344.0,10858.39386627,111.2283
2018-05-16,8059.0,8477.74299592,111.3057
2018-05-17,8238.51,8239.27592631,111.3537
2018-05-18,8235.6,4198.42045085,111.7161
2018-05-19,8516.86,4486.83071279,111.7161
2018-05-20,8393.44,5125.87838258,111.7161
2018-05-21,7987.7,6905.26600219,111.6385
2018-05-22,7505.0,15892.46676728,111.1934
2018-05-23,7584.15,11375.35825749,111.6919
2018-05-24,7459.11,8681.38004429,111.4871
2018-05-25,7337.95,4572.29163123,111.5828
2018-05-26,7346.64,4568.21590348,111.5828
2018-05-27,7107.94,7785.66681592,111.5828
2018-05-28,7460.0,10350.09174071,111.5828
2018-05-29,7380.01,6250.20477606,112.2108
2018-05-30,7485.0,6067.82801549,111.6717
2018-05-31,7514.32,6936.82298245,111.988
2018-06-01,7636.42,5070.8649463,111.8253
2018-06-02,7706.37,5206.86345245,111.8253
2018-06-03,7487.37,6034.28233024,111.8253
2018-06-04,7612.51,5740.07226081,111.8235
2018-06-05,7655.0,5736.88730444,112.2628
2018-06-06,7684.93,5041.52279334,111.7517
2018-06-07,7618.8,3945.54283341,112.0719
2018-06-08,7496.4,2775.24696058,112.1057
2018-06-09,6770.31,18788.77680649,112.1057
2018-06-10,6881.0,11620.53954327,112.1057
2018-06-11,6545.0,10820.92303628,112.1097
2018-06-12,6302.31,17373.41486923,112.2129
2018-06-13,6638.49,14548.25525645,112.2569
2018-06-14,6391.22,7028.63892797,112.8581
2018-06-15,6484.29,4521.32956305,113.3369
2018-06-16,6447.16,3275.09792547,113.3369
2018-06-17,6709.02,8046.05593543,113.3369
2018-06-18,6736.41,6155.18187377,113.4889
2018-06-19,6759.18,6683.29357071,113.6379
2018-06-20,6719.01,4385.00279703,113.4774
2018-06-21,6059.82,18193.25099287,113.61
2018-06-22,6178.29,6070.20787087,113.3039
2018-06-23,6149.99,13211.31953891,113.3039
2018-06-24,6246.01,9237.28844816,113.3039
2018-06-25,6074.0,6680.68174851,113.2854
2018-06-26,6132.17,7061.43624405,113.301
2018-06-27,5851.66,7769.8116466,113.8964
2018-06-28,6202.36,11065.12248838,113.8399
2018-06-29,6383.19,6783.38450293,113.2583
2018-06-30,6349.5,4069.05699082,113.2583
2018-07-01,6611.79,8287.96529635,113.2583
2018-07-02,6502.62,6501.26577908,114.1669
2018-07-03,6587.47,6847.85549833,113.3217
2018-07-04,6532.95,6985.12310145,113.3217
2018-07-05,6600.0,5215.29306825,112.9756
2018-07-06,6753.28,4496.26591603,112.6426
2018-07-07,6701.97,3321.52529781,112.6426
2018-07-08,6664.01,5254.12964941,112.6426
2018-07-09,6303.7,8177.86682562,112.6423
2018-07-10,6390.04,5038.30347773,112.5792
2018-07-11,6249.75,9411.45794822,112.8582
2018-07-12,6216.29,5975.71038478,112.779
2018-07-13,6248.65,3044.81810615,113.0705
2018-07-14,6348.73,3882.96945333,113.0705
2018-07-15,6728.81,9147.40601617,113.0705
2018-07-16,7315.01,15644.40972338,112.8438
2018-07-17,7378.99,15774.39905617,113.1504
2018-07-18,7470.01,9985.49794394,113.3349
2018-07-19,7334.46,10406.31899656,113.9464
2018-07-20,7408.0,5079.339249,113.3214
2018-07-21,7397.8,5599.21912506,113.3214
2018-07-22,7720.09,12449.92345846,113.3214
2018-07-23,8385.5,19636.00922903,113.4248
2018-07-24,8157.15,14713.91077749,113.2043
2018-07-25,7931.99,11869.52084895,112.9217
2018-07-26,8184.21,11991.35205827,112.9175
2018-07-27,8228.9,4141.05036475,112.8122
2018-07-28,8216.34,4239.76030429,112.8122
2018-07-29,8170.01,10568.96492471,112.8122
2018-07-30,7727.27,12604.37481313,112.6043
2018-07-31,7603.99,11853.49011195,112.7297
2018-08-01,7533.92,6917.39838355,112.8897
