day,low,high,open,close,volume
2021-07-23,33424.7,34525.0,33647.27,34283.01,9864.75243703
2021-07-22,32000.0,33647.27,32287.75,33647.26,9004.84262627
2021-07-21,31729.68,32611.84,32152.68,32287.74,7704.6404628
2021-07-20,29501.02,32825.0,29796.15,32135.19,15598.47830878
2021-07-19,29301.56,31052.65,30842.04,29796.16,18114.15286104
2021-07-18,30429.99,31887.82,31786.37,30842.03,11027.00528966
2021-07-17,31125.6,32450.0,31533.9,31788.25,5006.4831051
2021-07-16,31179.01,31949.99,31389.57,31533.91,5695.57411588
2021-07-15,31025.42,32259.16,31872.49,31388.06,10006.47793721
2021-07-14,31064.77,33187.6,32815.75,31868.68,11273.61174025
2021-07-13,31600.0,33125.55,32734.14,32816.39,10355.3186961
2021-07-12,32201.12,33337.61,33077.43,32734.14,9478.04218884
2021-07-11,32665.0,34670.0,34259.22,33091.1,10145.24046995
2021-07-10,33333.33,34607.37,33515.35,34259.23,7023.06500489
2021-07-09,33027.83,34267.14,33824.25,33515.35,4906.24582215
2021-07-08,32255.24,34100.0,32875.95,33824.26,8320.90649257
2021-07-07,32111.0,33934.62,33879.5,32875.95,14147.3525248
2021-07-06,33770.01,35077.46,34225.72,33878.56,9404.8979867
2021-07-05,33300.0,35100.0,33697.78,34225.73,10313.01368118
2021-07-04,33156.86,35290.82,35284.06,33697.78,9607.60619891
2021-07-03,34390.53,35951.0,34685.03,35284.05,6224.03057033
2021-07-02,33320.0,34953.07,33805.01,34682.16,6197.80112922
2021-07-01,32704.73,33972.06,33510.93,33805.02,11765.65389836
2021-06-30,32703.48,35066.54,35060.0,33516.11,13210.9509733
2021-06-29,34033.0,36094.42,35906.17,35060.0,16700.72309396
2021-06-28,34233.35,36675.0,34493.22,35904.28,17917.59826258
2021-06-27,33864.99,35301.43,34708.53,34493.22,14920.2647883
2021-06-26,32002.21,34749.0,32267.59,34709.23,14428.92978925
2021-06-25,30173.49,32711.68,31594.62,32275.19,18299.38702942
2021-06-24,31300.0,35500.0,34654.87,31594.63,26505.19266978
2021-06-23,32300.0,35295.67,33688.51,34654.58,16868.94084747
2021-06-22,31708.03,34881.02,32538.9,33688.35,23124.81248294
2021-06-21,28800.0,33352.0,31609.82,32538.37,48409.17333487
2021-06-20,31259.0,35741.54,35585.79,31609.82,41304.39903519
2021-06-19,33347.05,36139.73,35484.8,35585.78,19400.07454207
2021-06-18,34833.26,36457.18,35840.96,35484.79,16801.08670642
2021-06-17,35153.16,38216.22,38103.94,35841.81,23472.37724375
2021-06-16,37365.63,39554.98,38351.0,38095.17,15970.35031651
2021-06-15,38105.0,40499.0,40158.06,38351.0,17238.57541183
2021-06-14,39510.98,41322.55,40537.93,40162.37,17020.70299457
2021-06-13,38744.83,41076.03,39015.24,40539.47,21916.84415956
2021-06-12,34780.57,39396.0,35557.32,39015.24,15748.96203951
2021-06-11,34635.47,37448.0,37340.08,35557.33,14516.54556279
2021-06-10,35944.0,37695.0,36694.91,37338.44,14142.19349961
2021-06-09,35800.0,38425.67,37404.75,36694.05,19853.81418911
2021-06-08,32408.53,37573.99,33402.13,37403.86,26040.89793254
2021-06-07,31004.95,34069.0,33567.26,33402.13,34937.55754915
2021-06-06,33333.0,36812.39,35800.48,33575.91,18997.71626987
2021-06-05,35258.0,36477.86,35539.97,35800.48,8184.50324318
2021-06-04,34832.17,37921.35,36856.53,35539.49,13654.69033381
2021-06-03,35593.22,39291.24,39248.54,36856.52,17917.63251152
2021-06-02,37184.88,39489.82,37581.83,39248.55,14325.7560692
2021-06-01,35920.0,38237.37,36684.99,37577.91,13952.35891376
2021-05-31,35669.14,37918.97,37276.23,36685.0,15713.10281689
2021-05-30,34183.0,37534.09,35669.44,37279.31,19527.11600162
2021-05-29,33333.0,36500.0,34627.81,35669.44,16038.94658082
2021-05-28,33650.86,37325.0,35680.48,34627.82,27999.15073256
2021-05-27,34688.0,38900.0,38556.88,35680.47,36231.72333985
2021-05-26,37191.99,40440.95,39293.23,38556.88,19390.89447264
2021-05-25,37837.36,40900.0,38361.81,39293.23,25107.68631485
2021-05-24,36481.26,39878.51,38874.53,38361.81,26107.55687287
2021-05-23,34407.17,39966.87,34758.88,38878.56,44419.45827713
2021-05-22,31111.0,38319.36,37476.84,34758.67,53433.30296532
2021-05-21,35257.52,38889.76,37333.09,37476.83,29239.02738254
2021-05-20,33501.54,42275.99,40623.24,37340.77,55961.90006046
2021-05-19,35000.0,42605.0,36735.44,40623.33,51445.79735691
2021-05-18,30000.0,43591.7,42865.05,36731.75,109537.24233282
2021-05-17,42300.0,45851.0,43571.89,42857.15,28210.30024018
2021-05-16,42101.0,46646.15,46450.78,43580.5,43660.22208427
2021-05-15,43825.0,49808.28,46771.01,46450.79,30655.33064729
2021-05-14,46573.0,50730.58,49893.48,46775.51,21936.11454712
2021-05-13,48895.0,51569.56,49682.28,49893.48,21987.79362448
2021-05-12,46000.0,52500.0,49498.76,49690.11,42250.08740789
2021-05-11,48500.0,58041.0,56753.19,49498.77,29660.84273553
2021-05-10,54511.48,56962.07,55866.38,56753.19,15446.63591676
2021-05-09,53600.0,59592.2,58313.84,55866.41,24647.23540718
2021-05-08,56265.3,59300.52,58958.06,58312.57,17169.72318523
2021-05-07,56980.01,59559.84,57380.39,58958.05,15374.94442964
2021-05-06,55300.0,58735.95,56444.82,57380.39,18323.8958022
2021-05-05,55288.0,58400.0,57515.69,56440.66,18244.13605211
2021-05-04,52913.02,57980.86,53241.91,57515.69,22918.90458572
2021-05-03,53057.7,57247.24,57212.73,53241.92,23492.0586849
2021-05-02,56500.0,58986.0,56625.21,57212.73,15165.00648795
2021-05-01,56072.0,57972.26,57859.28,56625.2,7647.62578087
2021-04-30,57050.94,58550.0,57798.77,57859.28,10787.04933216
2021-04-29,53068.43,58075.01,53580.0,57798.77,16536.33288912
2021-04-28,52369.61,55226.86,54889.81,53580.0,14592.31688772
2021-04-27,53887.0,56476.17,55069.61,54894.03,16484.33677655
2021-04-26,53321.0,55509.39,54047.8,55069.62,13957.08649512
2021-04-25,48817.62,54400.0,49121.0,54053.6,18005.22399425
2021-04-24,47044.01,50591.38,50101.42,49121.0,14633.51206544
2021-04-23,48726.87,51260.61,51187.75,50089.15,11839.14355893
2021-04-22,47464.65,52130.58,51695.98,51187.27,38794.85818376
2021-04-21,50400.0,55469.98,53795.62,51701.59,30427.89153907
2021-04-20,53620.91,56810.56,56477.67,53800.86,15584.08398293
2021-04-19,53430.01,57111.0,55696.83,56499.29,18608.27983583
2021-04-18,54187.85,57600.0,56273.65,55696.83,16838.39171629
2021-04-17,51300.0,60437.97,60067.2,56274.41,36891.70959047
2021-04-16,59700.0,62572.48,61427.27,60058.86,10847.76785762
2021-04-15,60048.43,63604.34,63229.04,61427.27,19867.41322269
2021-04-14,62036.73,63831.82,62971.8,63229.04,11209.4505281
2021-04-13,61277.91,64899.0,63588.22,62971.8,22570.84113444
2021-04-12,59799.01,63774.39,59836.88,63588.22,17897.76603088
2021-04-11,59369.0,61199.0,59983.66,59839.82,11467.72752999
2021-04-10,59177.06,60658.89,59778.59,59985.26,7278.96516665
2021-04-09,57875.41,61218.97,58092.68,59778.6,12817.81106734
2021-04-08,57670.51,58869.69,58083.1,58092.68,8094.74629652
2021-04-07,55700.0,58152.0,55962.67,58083.1,8073.59731731
2021-04-06,55400.0,58630.0,58021.67,55955.75,17787.29445084
2021-04-05,57333.33,59475.0,59134.07,58019.98,10354.33014603
2021-04-04,56817.64,59251.76,58216.73,59123.02,9204.86323941
2021-04-03,56478.53,58500.0,57094.34,58215.94,6301.43187883
2021-04-02,56943.0,59752.0,58981.04,57094.34,8405.26400491
2021-04-01,58441.88,60055.02,58726.47,58981.04,10966.93017846
2021-03-31,57930.0,59474.94,58800.01,58726.48,11096.33004907
2021-03-30,56873.8,59800.0,58786.46,58800.0,17376.62672814
2021-03-29,57000.0,59397.48,57613.76,58786.46,15105.07669026
2021-03-28,54900.0,58400.0,55781.22,57613.48,17552.36885101
2021-03-27,54701.0,56587.08,55856.54,55778.82,9235.80302347
2021-03-26,53966.0,56640.0,55080.9,55856.53,11333.33349523
2021-03-25,51250.0,55125.13,51320.76,55072.44,17843.00738205
2021-03-24,50305.0,53238.0,52259.69,51325.01,29642.04415588
2021-03-23,51673.82,57209.97,54333.27,52276.16,23775.21362623
2021-03-22,53000.0,55858.0,54111.49,54345.54,19221.75674
2021-03-21,53739.5,58421.68,57377.29,54110.07,19512.15647151
2021-03-20,55543.89,58651.22,58126.34,57363.32,11841.63877891
2021-03-19,57827.97,59928.0,58026.91,58116.7,9725.28123717
2021-03-18,56260.0,59461.99,57644.95,58039.66,16429.629743
2021-03-17,56996.15,60100.0,58925.54,57644.95,21459.4962399
2021-03-16,54138.01,58996.38,56924.26,58925.54,22687.57433043
2021-03-15,53221.0,56970.0,55629.08,56927.11,24432.37878722
2021-03-14,54568.0,60601.07,58972.71,55636.15,31651.39184131
2021-03-13,58950.0,61680.0,61181.38,58972.7,13581.96759058
2021-03-12,56083.74,61788.45,57220.84,61178.5,22301.28588901
2021-03-11,55050.0,58065.92,57820.15,57225.91,21760.53824103
2021-03-10,54283.0,58113.0,55888.7,57815.47,24369.21216789
2021-03-09,53025.0,57402.14,54921.61,55890.69,28326.07770941
2021-03-08,51845.01,54936.0,52413.17,54916.38,21177.14953983
2021-03-07,49328.62,52425.0,50976.22,52415.23,18856.28684439
2021-03-06,48909.83,51459.0,48909.84,50978.61,13965.15473114
2021-03-05,47077.0,49210.0,48766.01,48909.84,11877.83755909
2021-03-04,46219.32,49473.99,48370.97,48769.47,25468.18029576
2021-03-03,47502.0,51798.33,50370.33,48368.52,23386.97957577
2021-03-02,48161.75,52666.0,48502.18,50360.0,21301.47723933
2021-03-01,47075.11,50250.0,49635.3,48511.6,17063.56302004
2021-02-28,45042.13,49829.0,45231.74,49639.4,25068.25043716
2021-02-27,43016.0,46656.0,46169.92,45231.75,22745.60600179
2021-02-26,45055.0,48356.86,46319.79,46180.75,16290.28071728
2021-02-25,44150.0,48464.64,47063.9,46326.2,36048.6181927
2021-02-24,46700.0,52107.83,49737.81,47058.48,28011.20414657
2021-02-23,47002.0,51415.41,48899.99,49737.82,30732.14949499
2021-02-22,44888.08,54206.22,54125.67,48899.99,72300.585728
2021-02-21,46616.0,57577.69,57489.16,54142.13,49449.16575779
2021-02-20,55531.23,58367.0,55921.44,57489.16,13530.43444443
2021-02-19,54000.1,57563.57,55983.57,55923.52,22137.82194494
2021-02-18,50725.0,56370.05,51596.0,55983.56,27961.48197104
2021-02-17,50875.0,52549.99,52170.01,51601.73,15689.40275173
